,brain region,type,proportion (%),Species,x_loc,y_loc
17,hippocampus (CA1-3),inhibitory,100.0,rat,800,320
13,occipital cortex,inhibitory,100.0,cat,730,190
14,occipital cortex,inhibitory,100.0,cat,740,170
16,hippocampus (CA1-3),inhibitory,100.0,rat,760,330
37,olfactory bulb,inhibitory,100.0,rat,340,470
34,hippocampus (CA1-3),inhibitory,100.0,rat (young adult),790,320
2,striatum,inhibitory,94.0,Rat,730,450
38,somatosensory,inhibitory,90.0,rat,805,280
18,somatosensory,inhibitory,85.0,rat,815,290
7,PFC,excitatory,84.8,mouse,460,320
3,somatosensory,excitatory,80.0,rat,825,280
25,somatosensory,inhibitory,80.0,rat,825,270
30,somatosensory,inhibitory,74.0,mouse,805,260
31,neocortex,inhibitory,69.4,human,520,220
1,striatum,inhibitory,66.7,Rat,720,480
35,hippocampus (CA1-3),inhibitory,65.0,rat (young adult),760,310
23,neocortex,inhibitory,64.3,human (epileptic),540,230
39,neocortex,inhibitory,64.3,human,540,240
6,PFC,excitatory,59.3,mouse,480,340
33,somatosensory,inhibitory,57.9,mouse,805,260
4,PFC,excitatory,56.4,mouse,460,330
27,hippocampus (subiculum),excitatory,51.6,rat,680,230
40,striatum,inhibitory,50.0,mouse,750,470
0,occipital cortex,excitatory,50.0,Rat,720,190
42,hippocampus (CA1-3),inhibitory,50.0,rat,800,340
28,hippocampus (subiculum),excitatory,46.6,rat,640,230
15,occipital cortex,inhibitory,33.3,cat,730,180
9,PFC,excitatory,28.6,human (adult),490,340
24,neocortex,inhibitory,27.9,rats (adult/juvenile),520,200
20,cerebellar cortex,inhibitory,26.0,rat,920,260
22,cerebellar cortex,inhibitory,20.0,rat,940,230
29,hippocampus (subiculum),excitatory,17.2,rat,670,230
8,PFC,excitatory,11.5,mouse,490,320
11,occipital cortex,excitatory,10.0,cat,740,180
32,neocortex,inhibitory,7.1,human,510,220
21,cerebellar cortex,inhibitory,5.0,rat,920,230
10,neocortex,inhibitory,4.2,rat,530,220
5,PFC,excitatory,2.6,mouse,470,320
12,occipital cortex,excitatory,0.0,cat,750,160
26,hippocampus (CA1-3),excitatory,0.0,rat,770,340
19,somatosensory,inhibitory,0.0,rat,805,250
36,hippocampus (CA1-3),inhibitory,0.0,rat (young adult),790,330
41,striatum,inhibitory,0.0,mouse,750,460
